Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       Egzaminas 
Vardas1        Pavarde1       4         10        8         4         3         6         
Vardas2        Pavarde2       7         6         4         5         8         6         
Vardas3        Pavarde3       3         10        10        8         2         5         
Vardas4        Pavarde4       10        1         2         7         3         7         
Vardas5        Pavarde5       10        9         8         10        6         1         
Vardas6        Pavarde6       1         4         10        5         8         1         
Vardas7        Pavarde7       7         4         10        4         2         3         
Vardas8        Pavarde8       4         10        3         4         5         9         
Vardas9        Pavarde9       8         6         2         8         5         10        
Vardas10       Pavarde10      7         9         5         3         6         7         
Vardas11       Pavarde11      9         2         8         10        3         4         
Vardas12       Pavarde12      6         3         10        3         5         2         
Vardas13       Pavarde13      9         7         7         7         9         2         
Vardas14       Pavarde14      4         5         3         4         8         1         
Vardas15       Pavarde15      6         5         6         2         1         9         
Vardas16       Pavarde16      5         8         3         3         7         1         
Vardas17       Pavarde17      10        5         4         2         2         9         
Vardas18       Pavarde18      9         8         5         5         8         6         
Vardas19       Pavarde19      9         6         10        7         1         10        
Vardas20       Pavarde20      2         4         8         2         6         8         
Vardas21       Pavarde21      4         7         3         1         8         8         
Vardas22       Pavarde22      6         5         10        1         4         7         
Vardas23       Pavarde23      5         8         1         3         10        2         
Vardas24       Pavarde24      1         9         4         1         3         8         
Vardas25       Pavarde25      7         7         5         7         10        8         
Vardas26       Pavarde26      9         6         7         10        7         10        
Vardas27       Pavarde27      6         5         4         4         7         8         
Vardas28       Pavarde28      1         10        2         8         4         1         
Vardas29       Pavarde29      3         2         1         8         5         4         
Vardas30       Pavarde30      4         4         2         10        3         2         
Vardas31       Pavarde31      4         8         4         2         3         4         
Vardas32       Pavarde32      6         3         4         2         7         6         
Vardas33       Pavarde33      9         8         7         1         2         3         
Vardas34       Pavarde34      10        1         1         3         2         6         
Vardas35       Pavarde35      9         2         5         3         2         4         
Vardas36       Pavarde36      10        2         9         7         6         5         
Vardas37       Pavarde37      5         7         8         7         2         6         
Vardas38       Pavarde38      9         8         4         3         10        3         
Vardas39       Pavarde39      2         5         3         4         8         2         
